X,Y,Z,MD,TVD
2178710.512,504703.7478,-5117.125107,7649,7144.125107
2178703.84,504705.8041,-5139.039532,7672,7166.039532
2178697.538,504707.6811,-5161.078998,7695,7188.078998
2178691.607,504709.378,-5183.235835,7718,7210.235835
2178686.049,504710.8943,-5205.50233,7741,7232.50233
2178680.758,504712.2559,-5228.357826,7764.5,7255.357826
2178675.857,504713.4266,-5251.310949,7788,7278.310949
2178671.35,504714.4059,-5274.353424,7811.5,7301.353424
2178667.237,504715.1935,-5297.476941,7835,7324.476941
2178662.094,504716.1678,-5328.707766,7866.666667,7355.707766
2178657.214,504717.2266,-5359.978191,7898.333333,7386.978191
2178652.599,504718.3696,-5391.28577,7930,7418.28577
2178649.421,504719.2088,-5414.806968,7953.75,7441.806968
2178646.613,504719.9483,-5438.378415,7977.5,7465.378415
2178644.173,504720.5879,-5461.993903,8001.25,7488.993903
2178642.105,504721.1275,-5485.647208,8025,7512.647208
2178639.845,504721.7128,-5516.893145,8056.333333,7543.893145
2178638.034,504722.1768,-5548.170388,8087.666667,7575.170388
2178636.673,504722.5196,-5579.471999,8119,7606.471999
2178635.73,504722.7532,-5610.790029,8150.333333,7637.790029
2178635.169,504722.89,-5642.117836,8181.666667,7669.117836
2178634.991,504722.9299,-5673.450433,8213,7700.450433
2178635,504722.8571,-5720.450362,8260,7747.450362
2178634.986,504722.6642,-5767.449951,8307,7794.449951
2178634.945,504722.3255,-5786.446388,8326,7813.446388
2178634.844,504721.514,-5805.428281,8345,7832.428281
2178634.683,504720.2302,-5824.383673,8364,7851.383673
2178634.462,504718.4749,-5843.300624,8383,7870.300624
2178634.182,504716.2492,-5862.167218,8402,7889.167218
2178633.833,504712.8778,-5885.420684,8425.5,7912.420684
2178633.555,504708.8515,-5908.570702,8449,7935.570702
2178633.349,504704.1736,-5931.598638,8472.5,7958.598638
2178633.214,504698.8479,-5954.485953,8496,7981.485953
2178633.189,504692.8467,-5977.464467,8519.75,8004.464467
2178633.315,504686.2626,-6000.282431,8543.5,8027.282431
2178633.593,504679.1,-6022.924125,8567.25,8049.924125
2178634.022,504671.364,-6045.373951,8591,8072.373951
2178634.609,504663.1383,-6067.378566,8614.5,8094.378566
2178635.371,504654.3385,-6089.154529,8638,8116.154529
2178636.308,504644.9713,-6110.685575,8661.5,8137.685575
2178637.419,504635.0436,-6131.955619,8685,8158.955619
2178638.496,504626.501,-6148.891283,8704,8175.891283
2178639.793,504617.3835,-6165.508841,8723,8192.508841
2178641.306,504607.7032,-6181.786216,8742,8208.786216
2178643.034,504597.4729,-6197.701779,8761,8224.701779
2178644.975,504586.7062,-6213.234385,8780,8240.234385
2178647.084,504575.5891,-6228.246564,8798.8,8255.246564
2178649.361,504564.0722,-6242.929162,8817.6,8269.929162
2178651.804,504552.1651,-6257.269854,8836.4,8284.269854
2178654.411,504539.8778,-6271.256601,8855.2,8298.256601
2178657.18,504527.2207,-6284.877663,8874,8311.877663
2178660.092,504514.1757,-6298.096516,8892.8,8325.096516
2178663.132,504500.7272,-6310.875092,8911.6,8337.875092
2178666.295,504486.8893,-6323.199913,8930.4,8350.199913
2178669.577,504472.6766,-6335.057982,8949.2,8362.057982
2178672.976,504458.104,-6346.436791,8968,8373.436791
2178677.379,504439.4856,-6360.080439,8991.5,8387.080439
2178681.945,504420.5092,-6373.165943,9015,8400.165943
2178686.669,504401.1909,-6385.682257,9038.5,8412.682257
2178691.549,504381.5469,-6397.618814,9062,8424.618814
2178696.551,504361.3947,-6409.145568,9085.75,8436.145568
2178701.54,504340.9694,-6420.187366,9109.5,8447.187366
2178706.512,504320.2824,-6430.738141,9133.25,8457.738141
2178711.466,504299.345,-6440.792095,9157,8467.792095
2178716.4,504278.3946,-6450.221667,9180.5,8477.221667
2178721.418,504257.2268,-6459.105466,9204,8486.105466
2178726.517,504235.8551,-6467.437824,9227.5,8494.437824
2178731.694,504214.293,-6475.213428,9251,8502.213428
2178736.868,504192.7647,-6482.301751,9274.25,8509.301751
2178742.068,504171.0368,-6488.731056,9297.5,8515.731056
2178747.29,504149.1284,-6494.495697,9320.75,8521.495697
2178752.53,504127.0588,-6499.590608,9344,8526.590608
2178759.688,504096.8687,-6505.915633,9375.666667,8532.915633
2178766.869,504066.6202,-6511.928051,9407.333333,8538.928051
2178774.073,504036.3165,-6517.627252,9439,8544.627252
2178781.224,504006.2689,-6522.887672,9470.333333,8549.887672
2178788.402,503976.1524,-6527.700101,9501.666667,8554.700101
2178795.604,503945.9734,-6532.063528,9533,8559.063528
2178802.805,503915.7472,-6536.090078,9564.333333,8563.090078
2178809.98,503885.4859,-6539.892363,9595.666667,8566.892363
2178817.131,503855.1913,-6543.47018,9627,8570.47018
2178827.867,503809.7279,-6548.629733,9674,8575.629733
2178838.665,503764.2704,-6553.711822,9721,8580.711822
2178849.599,503718.3314,-6558.823247,9768.5,8585.823247
2178860.512,503672.3907,-6563.963519,9816,8590.963519
2178871.234,503626.9077,-6568.976293,9863,8595.976293
2178881.826,503581.3749,-6573.813674,9910,8600.813674
2178892.478,503535.337,-6578.620034,9957.5,8605.620034
2178903.158,503489.3068,-6583.438766,10005,8610.438766
2178913.825,503443.789,-6588.249639,10052,8615.249639
2178924.666,503398.32,-6593.133946,10099,8620.133946
2178935.6,503352.8827,-6598.105925,10146,8625.105925
2178946.547,503307.4599,-6603.179855,10193,8630.179855
2178957.589,503261.5545,-6608.359275,10240.5,8635.359275
2178968.575,503215.6356,-6613.538695,10288,8640.538695
2178979.496,503169.6852,-6618.571809,10335.5,8645.571809
2178990.344,503123.6863,-6623.31218,10383,8650.31218
2179001.138,503078.1695,-6627.843493,10430,8654.843493
2179012.122,503032.6956,-6632.346228,10477,8659.346228
2179023.18,502987.2406,-6636.861186,10524,8663.861186
2179034.193,502941.78,-6641.429214,10571,8668.429214
2179045.288,502895.829,-6646.060277,10618.5,8673.060277
2179056.36,502849.8697,-6650.666587,10666,8677.666587
2179067.336,502804.3962,-6655.193794,10713,8682.193794
2179078.377,502758.9346,-6659.684257,10760,8686.684257
2179089.595,502713.002,-6664.20186,10807.5,8691.20186
2179100.87,502667.0828,-6668.715336,10855,8695.715336
